testName,mode,objectCount,meshVariantCount,materialVariantCount,repetition,warmupSeconds,measureSeconds,avgFps,minFps,maxFps,avgFrameTimeMs,minFrameTimeMs,maxFrameTimeMs,runtimeDrawCallsAvg,runtimeDrawCallsMin,runtimeDrawCallsMax,objectRenderMeshInstances,browser,resolution,deviceNotes
baseline_cube_1000,baseline,1000,1,1,1,3,10,60.005,58.824,61.35,16.666,16.3,17,1001,1001,1001,1000,Chrome,1920x1080,
baseline_cube_1000,baseline,1000,1,1,2,3,10,60.005,59.172,60.976,16.666,16.4,16.9,1001,1001,1001,1000,Chrome,1920x1080,
baseline_cube_1000,baseline,1000,1,1,3,3,10,60.006,59.172,61.35,16.666,16.3,16.9,1001,1001,1001,1000,Chrome,1920x1080,
baseline_cube_2000,baseline,2000,1,1,1,3,10,60.005,58.824,61.35,16.666,16.3,17,2001,2001,2001,2000,Chrome,1920x1080,
baseline_cube_2000,baseline,2000,1,1,2,3,10,60.006,59.172,60.976,16.666,16.4,16.9,2001,2001,2001,2000,Chrome,1920x1080,
baseline_cube_2000,baseline,2000,1,1,3,3,10,60.006,58.824,60.976,16.666,16.4,17,2001,2001,2001,2000,Chrome,1920x1080,
baseline_cube_3000,baseline,3000,1,1,1,3,10,59.262,10,60.976,17.269,16.4,100,3001,3001,3001,3000,Chrome,1920x1080,
baseline_cube_3000,baseline,3000,1,1,2,3,10,60.005,59.172,60.976,16.666,16.4,16.9,3001,3001,3001,3000,Chrome,1920x1080,
baseline_cube_3000,baseline,3000,1,1,3,3,10,59.887,20,60.976,16.749,16.4,50,3001,3001,3001,3000,Chrome,1920x1080,
baseline_cube_4000,baseline,4000,1,1,1,3,10,60.006,59.172,60.976,16.665,16.4,16.9,4001,4001,4001,4000,Chrome,1920x1080,
baseline_cube_4000,baseline,4000,1,1,2,3,10,60.005,58.48,61.35,16.666,16.3,17.1,4001,4001,4001,4000,Chrome,1920x1080,
baseline_cube_4000,baseline,4000,1,1,3,3,10,60.006,59.172,60.606,16.665,16.5,16.9,4001,4001,4001,4000,Chrome,1920x1080,
baseline_cube_5000,baseline,5000,1,1,1,3,10,58.371,29.851,61.35,17.572,16.3,33.5,5001,5001,5001,5000,Chrome,1920x1080,
baseline_cube_5000,baseline,5000,1,1,2,3,10,60.005,59.172,60.976,16.666,16.4,16.9,5001,5001,5001,5000,Chrome,1920x1080,
baseline_cube_5000,baseline,5000,1,1,3,3,10,59.737,20,60.976,16.834,16.4,50,5001,5001,5001,5000,Chrome,1920x1080,
baseline_cube_6000,baseline,6000,1,1,1,3,10,54.289,19.96,60.606,19.873,16.5,50.1,6001,6001,6001,6000,Chrome,1920x1080,
baseline_cube_6000,baseline,6000,1,1,2,3,10,56.615,19.96,60.976,18.583,16.4,50.1,6001,6001,6001,6000,Chrome,1920x1080,
baseline_cube_6000,baseline,6000,1,1,3,3,10,51.848,14.993,60.606,21.266,16.5,66.7,6001,6001,6001,6000,Chrome,1920x1080,
baseline_cube_7000,baseline,7000,1,1,1,3,10,40.921,14.993,60.976,27.487,16.4,66.7,7001,7001,7001,7000,Chrome,1920x1080,
baseline_cube_7000,baseline,7000,1,1,2,3,10,41.639,14.948,60.606,27.143,16.5,66.9,7001,7001,7001,7000,Chrome,1920x1080,
baseline_cube_7000,baseline,7000,1,1,3,3,10,39.658,14.993,60.241,28.135,16.6,66.7,7001,7001,7001,7000,Chrome,1920x1080,
baseline_cube_8000,baseline,8000,1,1,1,3,10,31.468,19.92,60.606,33.331,16.5,50.2,8001,8001,8001,8000,Chrome,1920x1080,
baseline_cube_8000,baseline,8000,1,1,2,3,10,41.522,14.993,60.606,27.639,16.5,66.7,8001,8001,8001,8000,Chrome,1920x1080,
baseline_cube_8000,baseline,8000,1,1,3,3,10,32.471,19.96,60.241,32.68,16.6,50.1,8001,8001,8001,8000,Chrome,1920x1080,
baseline_cube_9000,baseline,9000,1,1,1,3,10,34.986,14.993,60.606,31.597,16.5,66.7,9001,9001,9001,9000,Chrome,1920x1080,
baseline_cube_9000,baseline,9000,1,1,2,3,10,36.087,19.96,60.606,30.078,16.5,50.1,9001,9001,9001,9000,Chrome,1920x1080,
baseline_cube_9000,baseline,9000,1,1,3,3,10,39.487,29.851,60.606,28.056,16.5,33.5,9001,9001,9001,9000,Chrome,1920x1080,
baseline_cube_10000,baseline,10000,1,1,1,3,10,29.099,19.92,30.211,34.836,33.1,50.2,10001,10001,10001,10000,Chrome,1920x1080,
baseline_cube_10000,baseline,10000,1,1,2,3,10,33.379,12.005,60.606,31.797,16.5,83.3,10001,10001,10001,10000,Chrome,1920x1080,
baseline_cube_10000,baseline,10000,1,1,3,3,10,32.319,14.993,60.241,32.31,16.6,66.7,10001,10001,10001,10000,Chrome,1920x1080,
