testName,mode,objectCount,repetition,avgFps,avgFrameTimeMs,runtimeDrawCallsAvg,objectRenderMeshInstances,analysedGroupCount,analysedBatchingCandidateGroups,analysedLargestGroupSize,optimisedAssignedObjectCount,optimisedUsedGroupCount,optimisedSkippedGroupCount
instancing_cube_1000,instancing,1000,1,60.004,16.666,7,3,3,3,334,1000,3,0
instancing_cube_1000,instancing,1000,2,60.006,16.665,7,3,3,3,334,1000,3,0
instancing_cube_1000,instancing,1000,3,59.937,16.722,7,3,3,3,334,1000,3,0
instancing_cube_2000,instancing,2000,1,60.005,16.666,7,3,3,3,667,2000,3,0
instancing_cube_2000,instancing,2000,2,59.683,16.862,7,3,3,3,667,2000,3,0
instancing_cube_2000,instancing,2000,3,60.006,16.666,7,3,3,3,667,2000,3,0
instancing_cube_3000,instancing,3000,1,60.008,16.665,7,3,3,3,1000,3000,3,0
instancing_cube_3000,instancing,3000,2,60.006,16.666,7,3,3,3,1000,3000,3,0
instancing_cube_3000,instancing,3000,3,60.006,16.666,7,3,3,3,1000,3000,3,0
instancing_cube_4000,instancing,4000,1,59.921,16.806,7,3,3,3,1334,4000,3,0
instancing_cube_4000,instancing,4000,2,60.005,16.666,7,3,3,3,1334,4000,3,0
instancing_cube_4000,instancing,4000,3,60.007,16.665,7,3,3,3,1334,4000,3,0
instancing_cube_5000,instancing,5000,1,59.938,16.721,7,3,3,3,1667,5000,3,0
instancing_cube_5000,instancing,5000,2,60.007,16.665,7,3,3,3,1667,5000,3,0
instancing_cube_5000,instancing,5000,3,60.005,16.666,7,3,3,3,1667,5000,3,0
instancing_cube_6000,instancing,6000,1,60.007,16.665,7,3,3,3,2000,6000,3,0
instancing_cube_6000,instancing,6000,2,60.005,16.666,7,3,3,3,2000,6000,3,0
instancing_cube_6000,instancing,6000,3,59.94,16.721,7,3,3,3,2000,6000,3,0
instancing_cube_7000,instancing,7000,1,60.005,16.666,7,3,3,3,2334,7000,3,0
instancing_cube_7000,instancing,7000,2,59.958,16.693,7,3,3,3,2334,7000,3,0
instancing_cube_7000,instancing,7000,3,60.007,16.665,7,3,3,3,2334,7000,3,0
instancing_cube_8000,instancing,8000,1,60.006,16.666,7,3,3,3,2667,8000,3,0
instancing_cube_8000,instancing,8000,2,60.006,16.666,7,3,3,3,2667,8000,3,0
instancing_cube_8000,instancing,8000,3,60.004,16.666,7,3,3,3,2667,8000,3,0
instancing_cube_9000,instancing,9000,1,60.005,16.666,7,3,3,3,3000,9000,3,0
instancing_cube_9000,instancing,9000,2,59.956,16.693,7,3,3,3,3000,9000,3,0
instancing_cube_9000,instancing,9000,3,59.888,16.749,7,3,3,3,3000,9000,3,0
instancing_cube_10000,instancing,10000,1,59.954,16.694,7,3,3,3,3334,10000,3,0
instancing_cube_10000,instancing,10000,2,60.006,16.665,7,3,3,3,3334,10000,3,0
instancing_cube_10000,instancing,10000,3,59.957,16.693,7,3,3,3,3334,10000,3,0
